	color	label	na	pos	tooltip	url	value
0	#6BA792	Cerebral cortex	0	1	<table><tr><th class='score_center' colspan='3'>Cerebral cortex</th></tr><tr><td class='score'>Glial cells:</td><th class='score_center'>Not detected</th></tr><tr><td class='score'>Neuronal cells:</td><th class='score_center'>Medium</th></tr><tr><td class='score'>Endothelial cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Neuropil:</td><th class='score_center'>Medium</th></tr></table>	/ENSG00000171862-PTEN/tissue/cerebral+cortex	2.00
1	#6BA792	Hippocampus	0	2	<table><tr><th class='score_center' colspan='3'>Hippocampus</th></tr><tr><td class='score'>Neuronal cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Glial cells:</td><th class='score_center'>Not detected</th></tr></table>	/ENSG00000171862-PTEN/tissue/hippocampus	1.00
2	#6BA792	Caudate	0	3	<table><tr><th class='score_center' colspan='3'>Caudate</th></tr><tr><td class='score'>Neuronal cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Glial cells:</td><th class='score_center'>Not detected</th></tr></table>	/ENSG00000171862-PTEN/tissue/caudate	1.00
3	#6BA792	Cerebellum	0	4	<table><tr><th class='score_center' colspan='3'>Cerebellum</th></tr><tr><td class='score'>Purkinje cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Cells in granular layer:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Cells in molecular layer:</td><th class='score_center'>Medium</th></tr></table>	/ENSG00000171862-PTEN/tissue/cerebellum	2.00
4	#7F6A9C	Thyroid gland	0	5	<table><tr><th class='score_center' colspan='3'>Thyroid gland</th></tr><tr><td class='score'>Glandular cells:</td><th class='score_center'>Medium</th></tr></table>	/ENSG00000171862-PTEN/tissue/thyroid+gland	2.00
5	#7F6A9C	Parathyroid gland	0	6	<table><tr><th class='score_center' colspan='3'>Parathyroid gland</th></tr><tr><td class='score'>Glandular cells:</td><th class='score_center'>Not detected</th></tr></table>	/ENSG00000171862-PTEN/tissue/parathyroid+gland	0.00
6	#7F6A9C	Adrenal gland	0	7	<table><tr><th class='score_center' colspan='3'>Adrenal gland</th></tr><tr><td class='score'>Glandular cells:</td><th class='score_center'>Medium</th></tr></table>	/ENSG00000171862-PTEN/tissue/adrenal+gland	2.00
7	#A1A8AA	Appendix	0	8	<table><tr><th class='score_center' colspan='3'>Appendix</th></tr><tr><td class='score'>Glandular cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Lymphoid tissue:</td><th class='score_center'>Not detected</th></tr></table>	/ENSG00000171862-PTEN/tissue/appendix	1.00
8	#A1A8AA	Bone marrow	0	9	<table><tr><th class='score_center' colspan='3'>Bone marrow</th></tr><tr><td class='score'>Hematopoietic cells:</td><th class='score_center'>Low</th></tr></table>	/ENSG00000171862-PTEN/tissue/bone+marrow	1.00
9	#A1A8AA	Lymph node	0	10	<table><tr><th class='score_center' colspan='3'>Lymph node</th></tr><tr><td class='score'>Germinal center cells:</td><th class='score_center'>Low</th></tr><tr><td class='score'>Non-germinal center cells:</td><th class='score_center'>Low</th></tr></table>	/ENSG00000171862-PTEN/tissue/lymph+node	1.00
